Busca;Posicao;Valor_Pesquisado;Tempo_Execucao;Tempo_Insercao_Lista;Tamanho_Vetor
Binaria; 36361; 72553; 3.981000; 7030512.010000; 524288
Binaria; -1; 105847; 60.464000; 7030512.010000; 524288
Binaria; -1; 116222; 56.050000; 7030512.010000; 524288
Binaria; -1; 230540; 54.549000; 7030512.010000; 524288
Binaria; 128537; 257729; 13.360000; 7030512.010000; 524288
Binaria; -1; 128831; 54.526000; 7030512.010000; 524288
Binaria; 9591; 19107; 0.994000; 7030512.010000; 524288
Binaria; 116679; 234086; 12.058000; 7030512.010000; 524288
Binaria; 67619; 135383; 6.945000; 7030512.010000; 524288
Binaria; -1; 121787; 54.592000; 7030512.010000; 524288
Binaria; -1; 163593; 56.107000; 7030512.010000; 524288
Binaria; -1; 175834; 54.570000; 7030512.010000; 524288
Binaria; 120739; 242281; 12.563000; 7030512.010000; 524288
Binaria; -1; 95291; 54.351000; 7030512.010000; 524288
Binaria; -1; 255548; 55.339000; 7030512.010000; 524288
Binaria; 126863; 254390; 13.194000; 7030512.010000; 524288
Binaria; 27471; 54879; 2.851000; 7030512.010000; 524288
Binaria; 53555; 106880; 5.404000; 7030512.010000; 524288
Binaria; 79171; 158610; 7.865000; 7030512.010000; 524288
Binaria; -1; 34532; 54.699000; 7030512.010000; 524288
Binaria; -1; 76594; 57.268000; 7030512.010000; 524288
Binaria; 6162; 12349; 0.659000; 7030512.010000; 524288
Binaria; 98540; 197474; 10.880000; 7030512.010000; 524288
Binaria; -1; 67411; 58.330000; 7030512.010000; 524288
Binaria; -1; 131095; 59.415000; 7030512.010000; 524288
Binaria; -1; 120633; 58.242000; 7030512.010000; 524288
Binaria; -1; 112223; 56.234000; 7030512.010000; 524288
Binaria; -1; 160152; 54.588000; 7030512.010000; 524288
Binaria; -1; 219044; 54.627000; 7030512.010000; 524288
Binaria; 97470; 195331; 10.452000; 7030512.010000; 524288
Binaria; -1; 187450; 57.503000; 7030512.010000; 524288
Binaria; -1; 29598; 57.121000; 7030512.010000; 524288
Binaria; 84675; 169531; 9.760000; 7030512.010000; 524288
Binaria; 20939; 41673; 2.431000; 7030512.010000; 524288
Binaria; -1; 128490; 56.108000; 7030512.010000; 524288
Binaria; -1; 165260; 55.789000; 7030512.010000; 524288
Binaria; -1; 38856; 55.389000; 7030512.010000; 524288
Binaria; -1; 15949; 55.306000; 7030512.010000; 524288
Binaria; -1; 5698; 55.424000; 7030512.010000; 524288
Binaria; -1; 174239; 57.577000; 7030512.010000; 524288
Binaria; -1; 137736; 56.763000; 7030512.010000; 524288
Binaria; -1; 169291; 55.878000; 7030512.010000; 524288
Binaria; -1; 88074; 55.403000; 7030512.010000; 524288
Binaria; 123843; 248370; 13.002000; 7030512.010000; 524288
Binaria; 66444; 132934; 7.018000; 7030512.010000; 524288
Binaria; -1; 81622; 55.274000; 7030512.010000; 524288
Binaria; -1; 240760; 55.277000; 7030512.010000; 524288
Binaria; 93726; 187813; 9.900000; 7030512.010000; 524288
Binaria; -1; 56854; 55.043000; 7030512.010000; 524288
Binaria; -1; 5722; 55.184000; 7030512.010000; 524288
Binaria; 45529; 90697; 4.783000; 7030512.010000; 524288
